SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
305490013,30549001300011,DROGUERIE GILBERT DUBOULOZ,Odile Dubouloz,04 50 71 14 65,,01/01/1976,49 ans,74,FR,74200,Thonon-les-Bains,DPH,Droguerie,9.5 M,2023,165.8 K,2023
016550113,01655011300022,SAS ROYER (DROGUERIE ROYER),Nadege Rousselet,03 80 52 51 38,sa.royer@wanadoo.fr,01/01/1965,60 ans,21,FR,21300,Chenôve,DPH,Droguerie,5.7 M,2023,124.2 K,2023
325221562,32522156200033,ETABLISSEMENTS J. LABORIER (DROGUERIE J. LABORIER),Jean-yves Bonnet,03 81 39 76 86,laborier-besancon@laborier.com,01/07/1982,42 ans,25,FR,25300,Pontarlier,DPH,Droguerie,3.8 M,2016,58.4 K,2016
523574887,52357488700044,LA DROGUERIE,Serge Chatraz,04 78 28 27 42,droguerielyonnaise@orange.fr,01/07/2010,14 ans,69,FR,69004,Lyon,DPH,Droguerie,1.7 M,2023,285.3 K,2023
508317823,50831782300055,CASH ALPES MARITIMES DROGUERIE (CASH A.M.D),Yann Cossais,,,01/10/2008,16 ans,06,FR,06000,Nice,DPH,Droguerie,1.6 M,2022,79.1 K,2022
416450401,41645040100066,COMPT GENERAL ALIMENTAT DROGUERIE (CODEC),Sophie Boucherot,04 93 58 44 44,,01/01/1964,61 ans,06,FR,06140,Vence,DPH,Droguerie,1.6 M,2020,65.1 K,2020
780109757,78010975700077,DROGUERIE FINET GOSSET,Emmanuel Gueret,03 44 44 16 66,,01/01/1973,52 ans,60,FR,60400,Noyon,DPH,Droguerie,1.4 M,2023,10.6 K,2023
393257886,39325788600088,DROGUERIE AUX COULEURS NOUVELLES,Peggy Suard,05 46 41 02 71,contact@droguerie-larochelle.com,24/11/1993,31 ans,17,FR,17000,La Rochelle,DPH,Droguerie,1.1 M,2022,\-35.1 K,2022
483301198,48330119800099,DROGUERIE LYONNAISE (GRANDE DROGUERIE LYONNAISE),Serge Chatraz,04 78 93 20 82,contact@ladroguerielyonnaise.com,01/07/2005,19 ans,69,FR,69006,Lyon,DPH,Droguerie,1 M,2024,17.2 K,2024
893699827,89369982700100,DROGUERIE LAFAYETTE,Serge Chatraz,,,01/02/2021,4 ans,69,FR,69006,Lyon,DPH,Droguerie,924.1 K,2023,22.6 K,2023
449524750,44952475000011,APPROVISIONNEMENT EN PARFUMERIE-SCAPARF,Frederic Belin,03 44 38 35 50,contact@e-leclerc.fr,17/07/2003,21 ans,60,FR,60490,Maignelay-Montigny,DPH,Parfumerie,581.2 M,2023,64.6 K,2023
542053285,54205328500022,COMPTOIR NOUVEAU DE LA PARFUMERIE,Dorothee Dumas,01 49 42 80 00,contact.client@hermes.com,01/01/1954,71 ans,75,FR,75008,Paris,DPH,Parfumerie,395.7 M,2022,22.3 M,2022
