SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
848459285,84845928500011,CORNER CUISINE DISTRIBUTION,LOTEM 2,06 43 68 21 11,communication@wasabicorner.fr,01/03/2019,5 ans,33,FR,33520,Bruges,Bien-être de la personne,Cuisine,29.8 M,2023,187.7 K,2023
323528448,32352844800022,TERRES DE CUISINE,JAM,04 90 14 26 60,contact@terresdecuisine.fr,01/09/1981,43 ans,13,FR,13870,Rognonas,Bien-être de la personne,Cuisine,27.9 M,2023,306.5 K,2023
352822522,35282252200033,COMPETENCE CUISINE COLLECTIVE,PRO CUISINE SERVICES,01 30 10 89 77,info@cuisine3c.com,01/12/1989,35 ans,95,FR,95170,Deuil-la-Barre,Bien-être de la personne,Cuisine,27.5 M,2022,752.8 K,2022
348006677,34800667700044,CUISINE SOLUTIONS EUROPE,Luiz Goes Hasselmann,02 32 25 06 06,contact@cuisinesolutions.com,05/08/1988,36 ans,27,FR,27400,Louviers,Bien-être de la personne,Cuisine,22.8 M,2023,738.2 K,2023
800754921,80075492100055,CUISINE PLUS FRANCE,FBD INTERNATIONAL,,direction.chambray@cuisine-plus.com,21/02/2014,11 ans,93,FR,93290,Tremblay-en-France,Bien-être de la personne,Cuisine,17.4 M,2023,1.6 M,2023
421321399,42132139900066,FOODIZ CUISINE,FOODIZ SOLUTIONS,03 21 60 68 00,contact@lepetitcuisinier.com,29/12/1998,26 ans,62,FR,62490,Noyelles-Godault,Bien-être de la personne,Cuisine,16.1 M,2022,-157.1 K,2022
817382559,81738255900077,CUISINE DE QUALITE,SPCH,,,01/11/2015,9 ans,78,FR,78200,Mantes-la-Jolie,Bien-être de la personne,Cuisine,9.9 M,2023,8.7 K,2023
505261107,50526110700088,UN AMOUR DE CUISINE (SOCOO'C),Henri Helle,,,16/07/2008,16 ans,34,FR,34130,Mauguio,Bien-être de la personne,Cuisine,9.7 M,2022,807.4 K,2022
327096970,32709697000099,AGENCEMENT CUISINE 1,Luciano Demichelis,04 93 29 86 38,info@acuisine1.eu,14/04/1983,41 ans,06,FR,06200,Nice,Bien-être de la personne,Cuisine,15.4 M,2022,2 M,2022
878095546,87809554600100,BOS GRANDE CUISINE,Gilles Silberman,04 79 24 00 66,,21/09/2019,5 ans,73,FR,73600,Moûtiers,Bien-être de la personne,Cuisine,12.4 M,2022,237.1 K,2022
