SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
843497033,84349703300011,RB HYGIENE HOME FRANCE SAS (STMARC),Marco Monti,08 01 84 13 96,contact@stmarc.fr,25/10/2018,6 ans,91,FR,91300,Massy,Équipement de la maison,Automobile,527 M,2023,5.7 M,2023
440319473,44031947300022,ORAPI HYGIENE,ORAPI,04 37 57 18 27,email inconnu,14/12/2001,23 ans,01,FR,01150,Saint-Vulbas,Équipement de la maison,Automobile,129.3 M,2023,2.2 M,2023
844858837,84485883700033,INITIAL HYGIENE SERVICES,Fabrice Quinquenel,01 47 12 34 00,contact@initial.com,19/12/2018,6 ans,92,FR,92100,Boulogne-Billancourt,Équipement de la maison,Automobile,100.4 M,2023,6.9 M,2023
410545313,41054531300044,CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON,GROUPE CARSO HOLDING,04 26 10 17 24,contact@groupecarso.com,10/01/1997,28 ans,69,FR,69200,Vénissieux,Équipement de la maison,Automobile,69.1 M,2022,-6.1 M,2022
016650590,01665059000055,SOC PRODUCTION PHARMACEUTIQUE HYGIENE,APOLLO JS,03 80 48 42 00,contact@fareva.com,01/01/1966,59 ans,21,FR,21800,Quetigny,Équipement de la maison,Automobile,64 M,2023,1.8 M,2023
301331054,30133105400066,GLOBAL HYGIENE,AQUILA HYGIENE SAS,03 80 27 10 10,contact@global-hygiene.com,01/01/1974,51 ans,21,FR,21130,Auxonne,Équipement de la maison,Automobile,63.3 M,2023,4.5 M,2023
414124719,41412471900077,GROUPE PIERRE LE GOFF NORD-EST (HYGIENE PLATEFORME SERVICE HPS),PLG FINANCES,n° tél. inconnu,email inconnu,13/10/1997,27 ans,57,FR,57130,Ars-sur-Moselle,Équipement de la maison,Automobile,47 M,2019,1 M,2019
321326357,32132635700088,GROUPE EUROPE HYGIENE (G.E.H.),ADELYA TERRE D'HYGIENE,03 80 47 52 59,geh@geh.fr,10/12/1980,44 ans,21,FR,21121,Fontaine-lès-Dijon,Équipement de la maison,Automobile,39.8 M,2023,2.3 M,2023
333210789,33321078900099,CRISTAL HYGIENE,TINI,n° tél. inconnu,contact@cristaldistribution.com,15/07/1985,39 ans,42,FR,42000,Saint-Étienne,Équipement de la maison,Automobile,38.7 M,2023,3.1 M,2023
829919836,82991983600100,FREGATA HYGIENE,AQUILA HYGIENE SAS,03 80 27 10 10,email inconnu,29/05/2017,7 ans,21,FR,21130,Auxonne,Équipement de la maison,Automobile,36.5 M,2023,909.2 K,2023
337742860,33774286000011,FAUCIGNY BRICOLAGE,Eric Lugand,,,01/04/1986,38 ans,01,FR,01100,Oyonnax,Équipement de la maison,Bricolage,6.2 M,2023,276.8 K,2023
882277437,88227743700022,LAON BRICOLAGE,Frankie Fabulas,,,05/03/2020,4 ans,02,FR,02000,Laon,Équipement de la maison,Bricolage,6.1 M,2023,66 K,2023
327593398,32759339800033,B 4 (MONSIEUR BRICOLAGE),GEMAR,04 91 49 00 91,,01/04/1983,41 ans,13,FR,13004,Marseille,Équipement de la maison,Bricolage,6.1 M,2023,318.7 K,2023
493379291,49337929100044,BRIJAG- BRICOLAGE ET JARDIN DE GUYANE (LA PALETTE),Philippe Gothland,05 94 30 19 02,,07/12/2006,18 ans,973,FR,97300,Cayenne,Équipement de la maison,Bricolage,6.1 M,2020,146.3 K,2020
342211513,34221151300055,SOCIETE BRICOLAGE DE L ALVERTONE (SOBRIAL),Laurent Portier,05 46 36 46 80,infos-bricopro-arvert@wanadoo.fr,20/05/1987,37 ans,17,FR,17530,Arvert,Équipement de la maison,Bricolage,6 M,2023,233.1 K,2023
414218727,41421872700066,BRICOLAGE JARDINAGE CASTELBRIANTAIS,JLO,02 40 81 50 85,contact@espace-emeraude.com,12/10/1997,27 ans,44,FR,44110,Châteaubriant,Équipement de la maison,Bricolage,5.9 M,2023,-16 K,2023
322951294,32295129400077,GENERAL BAZAR (GENERAL BRICOLAGE),Berthin Moueza,05 90 82 93 57,contact@generalbricolage.com,01/09/1981,43 ans,971,FR,97139,Les Abymes,Équipement de la maison,Bricolage,5.9 M,2019,209.1 K,2019
341789691,34178969100088,M J S (MR BRICOLAGE),Marc Crief,01 55 28 85 00,contact@grandlitier.com,27/05/1987,37 ans,75,FR,75011,Paris,Équipement de la maison,Bricolage,5.9 M,2016,71.9 K,2016
310939327,31093932700099,MONSIEUR BRICOLAGE MOURET (MR BRICOLAGE),DUMONCEAU,04 68 74 71 71,,01/01/1977,48 ans,11,FR,11300,Limoux,Équipement de la maison,Bricolage,5.9 M,2017,226.7 K,2017
343053625,34305362500100,BRICO ISSOIRE (MR BRICOLAGE),COURRIOL FINANCES,04 73 89 49 41,,27/11/1987,37 ans,63,FR,63500,Issoire,Équipement de la maison,Bricolage,5.8 M,2023,199.1 K,2023
381890409,38189040900111,SOC BISCARROSSE BRICOLAGE,Elisabeth Erasun,05 58 83 10 10,,02/05/1991,33 ans,40,FR,40600,Biscarrosse,Équipement de la maison,Bricolage,5.6 M,2023,201.4 K,2023
345077663,34507766300122,BRICO MOZAC (MR BRICOLAGE),COURRIOL FINANCES,04 73 63 14 42,contact@crossfit-mozac.fr,01/05/1988,36 ans,63,FR,63200,Mozac,Équipement de la maison,Bricolage,5.5 M,2023,75.8 K,2023
395172489,39517248900133,BERTREUX BRICOLAGE,Vincent Bertreux,04 75 33 26 86,bergerbricolage.compta@wanadoo.fr,16/05/1994,30 ans,07,FR,07430,Saint-Agrève,Équipement de la maison,Bricolage,5.4 M,2023,100.6 K,2023
452232929,45223292900144,BRICOLAGE MORESTEL,GROUPE BATISSE,04 74 80 29 10,,01/03/2004,20 ans,38,FR,38510,Morestel,Équipement de la maison,Bricolage,5.4 M,2022,278.2 K,2022
321854614,32185461400155,VAR BRICOLAGE (MONSIEUR BRICOLAGE),Patrice Lacour,04 94 03 66 62,,01/05/1981,43 ans,83,FR,83000,Toulon,Équipement de la maison,Bricolage,5 M,2016,160.9 K,2016
731820668,73182066800166,KITBOIS (MONSIEUR BRICOLAGE),Philippe Dumas,05 45 68 32 86,,01/01/1964,61 ans,16,FR,16430,Chasseneuil-sur-Bonnieure,Équipement de la maison,Bricolage,4.9 M,2023,-19.1 K,2023
403234164,40323416400177,B.J.V. - BRICOLAGE JARDINAGE VENDEE,ENAR,02 51 58 01 92,,11/12/1995,29 ans,85,FR,85160,Saint-Jean-de-Monts,Équipement de la maison,Bricolage,4.8 M,2022,668.5 K,2022
790809636,79080963600188,UNIVERSAL BRICOLAGE,,05 94 28 45 38,universal.bricolage@orange.fr,01/01/2013,12 ans,973,FR,97355,Matoury,Équipement de la maison,Bricolage,4.8 M,2022,26.9 K,2022
334246196,33424619600199,BRICO CLERMONT (MR BRICOLAGE),Michael Legout,04 67 88 46 90,,12/12/1985,39 ans,34,FR,34800,Clermont-l'Hérault,Équipement de la maison,Bricolage,5.7 M,2023,769.4 K,2023
317599835,31759983500200,SOCIETE DUNOISE DE BRICOLAGE (BRICOMARCHE),Ludovic Renouf,02 37 45 50 21,contact@mousquetaires.com,01/01/1979,46 ans,28,FR,28200,Dreux,Équipement de la maison,Bricolage,5.8 M,2022,320.2 K,2022
811993989,81199398900211,S.M.T BRICOLAGE,M.T.S,05 62 01 26 20,,08/06/2015,9 ans,31,FR,31390,Carbonne,Équipement de la maison,Bricolage,4.2 M,2023,42.1 K,2023
