SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,ville,pays,code_postal,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
393068077,39306807700010,CHANEL COORDINATION,Bruno Pavlovsky,01 42 86 28 01,contact@chanel.com,18/11/1993,31 ans,75,Paris,FR,75001,Habillement,ACCESSOIRE-MAIN FEMME,2.6 Md,2023,21.6 M,2023
562880468,56288046800010,LACOSTE OPERATIONS,Catherine Spindler,01 44 58 12 12,contact@lacoste.com,01/01/1956,69 ans,75,Paris,FR,75016,Habillement,CONF HOMME SPORTSWEAR GROSSES PCES,948.4 M,2023,127.8 M,2023
319427316,31942731600010,SANDRO ANDY,EVELYNE CHETRITE SAS,01 40 39 90 21,serviceclient@sandro-paris.com,01/04/1980,44 ans,75,Paris,FR,75008,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,324.4 M,2023,16.4 M,2023
562076299,56207629900010,SOC CHLOE,Laurent Malecaze,01 44 94 33 33,contact@chloe.com,01/01/1956,69 ans,75,Paris,FR,75008,Habillement,ACCESSOIRE-MAIN FEMME,305.3 M,2023,12 M,2023
421994658,42199465800010,CWF CHILDREN WORLDWIDE FASHION,CWF GROUP,02 51 66 38 38,contact.france@cwf.fr,23/02/1999,26 ans,85,Les Herbiers,FR,85500,Habillement,ENFANT ADO - GROSSES PCS,220.9 M,2023,38.2 M,2023
449158898,44915889800010,BA&SH,MUSE HOLDING,01 45 08 14 15,shop@ba-sh.com,25/06/2003,21 ans,75,Paris,FR,75016,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,203.6 M,2022,15.6 M,2022
542880125,54288012500010,PETIT-BATEAU,Alexandre Rubin,03 25 71 36 36,contact@petit-bateau.fr,01/01/1954,71 ans,10,Troyes,FR,10000,Habillement,BEBE - GROSSES PCS,178.3 M,2023,-5.2 M,2023
349760918,34976091800010,PAUL BOYE TECHNOLOGIES,Jacques Boye,04 67 58 75 00,contact@paulboye.fr,28/10/1988,36 ans,31,Labège,FR,31860,Habillement,VETEMENT DE TRAVAIL-TEXTILE,117.3 M,2023,8.9 M,2023
552051229,55205122900010,GIVENCHY,Sidney Toledano,01 44 31 50 00,contact@givenchy.com,01/01/1955,70 ans,75,Paris,FR,75008,Habillement,ACCESSOIRE-MAIN FEMME,301.9 M,2022,-1.4 M,2022
309706992,30970699200010,GINGER,Patrick Bellaiche,01 42 26 62 15,contact@sudexpress.com,01/01/1977,48 ans,75,Paris,FR,75010,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,55.4 M,2024,2.9 M,2024
332899731,33289973100010,RIP CURL EUROPE,Mathieu Lefin,05 58 41 78 00,marketing@ripcurl-europe.com,20/06/1985,39 ans,40,Capbreton,FR,40150,Habillement,SPORT-AQUATIQUE TEXTILE,55.2 M,2023,1.5 M,2023
429204282,42920428200010,SESSUN,Emmanuelle Francois,04 91 72 60 60,contact@sessun.com,01/01/2000,25 ans,13,Marseille,FR,13007,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,52 M,2023,2.7 M,2023
330792987,33079298700010,CREATIONS FUSALP,Sophie Lacoste,04 50 23 88 88,info@fusalp.com,01/08/1984,40 ans,74,Annecy,FR,74000,Habillement,SPORT-GLISSE URBAINE,47.3 M,2023,-1.4 M,2023
303754295,30375429500010,CMC (AGNES B),Agnes Trouble,,,01/01/1975,50 ans,75,Paris,FR,75010,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,45.3 M,2023,-1.7 M,2023
337814024,33781402400010,MOLINEL,SIPERCO,03 20 38 70 00,contact@molinel.com,29/04/1986,38 ans,59,Lille,FR,59236,Habillement,VETEMENT DE TRAVAIL-TEXTILE,45.1 M,2023,3.6 M,2023
327611406,32761140600010,PRINCESSE TAM TAM,Yoshihiro Kunii,01 43 12 03 00,relationclient@princessetamtam.com,01/01/1983,42 ans,75,Paris,FR,75001,Habillement,LINGERIE FEMME-SOUS VETEMENT,43.9 M,2023,-28.2 M,2023
572161123,57216112300010,ELSA SCHIAPARELLI SAS,Emilio Macellari,01 76 21 62 64,contact@schiaparelli.com,01/01/1957,68 ans,75,Paris,FR,75001,Habillement,ACCESSOIRE-MAIN FEMME,38.2 M,2023,-8.1 M,2023
378644603,37864460300010,KAPORAL COLLECTIONS,KAPORAL GROUPE,04 91 81 00 10,contact@kaporal.com,29/05/1990,34 ans,13,Marseille,FR,13014,Habillement,CONF HOMME SPORTSWEAR GROSSES PCES,35.7 M,2023,-1.6 M,2023
887527273,88752727300010,ATELIER RESILIENCE,RESILIENCE,,,23/06/2020,4 ans,59,Roubaix,FR,59100,Habillement,VETEMENT DE TRAVAIL-TEXTILE,34.7 M,2022,111.5 K,2022
308054410,30805441000010,GROUPE MULLIEZ-FLORY - GMF (SIMF),HDM GROUPE,02 41 63 78 10,contact@mulliez-flory.fr,01/01/1976,49 ans,49,Montrevault-sur-Èvre,FR,49230,Habillement,VETEMENT DE TRAVAIL-TEXTILE,65.8 M,2022,1.3 M,2022
