SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,ville,pays,code_postal,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
672039971,67203997100015,DANONE PRODUITS FRAIS FRANCE,Pablo Perversi,01 87 10 00 00,dpo.france@danone.com,01/01/1900,125 ans,92,Rueil-Malmaison,FR,92500,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,1.5 Md,2023,10.8 M,2023
528593866,52859386600012,PROSOL (GRAND FRAIS),ZF INVEST,04 78 81 68 00,contact@grandfrais.com,09/11/2010,14 ans,69,Chaponost,FR,69970,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,1.1 Md,2022,69 M,2022
350063384,35006338400019,LACTALIS NESTLE ULTRA-FRAIS MARQUES,Jean Mouchotte,01 55 85 98 00,contact@nestle.com,30/12/1988,36 ans,53,Laval,FR,53000,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,804 M,2023,18.6 M,2023
705580108,70558010800016,EURIAL ULTRA FRAIS,EURIAL HOLDING,03 86 97 40 40,contact@eurial.eu,01/01/1955,70 ans,89,Sens,FR,89150,PRODUITS FRAIS,SURGELE SALE-VIANDE BLANCHE,666.1 M,2023,40.4 M,2023
490476033,49047603300017,LACTALIS NESTLE ULTRA-FRAIS,LACTALIS NESTLE ULTRA-FRAIS,02 43 59 42 59,info@lactalis.fr,02/06/2006,18 ans,53,Laval,FR,53000,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,342.3 M,2023,56.9 M,2023
316535046,31653504600018,ATELIER FOREZIEN DU FRAIS,VVR HOLDING,04 77 53 99 99,contact@despi-le-boucher.com,01/01/1979,46 ans,42,Montbrison,FR,42350,PRODUITS FRAIS,SURGELE SALE-VIANDE ROUGE,240.4 M,2024,9.7 M,2024
432528719,43252871900019,COMPAGNIE ITALIENNE DE PRODUITS FRAIS,Filippo Marchi,03 87 21 81 20,cipf@codipal.fr,01/08/2000,24 ans,57,Metz,FR,57070,PRODUITS FRAIS,SURGELE SALE-CRUSTACE ET MOLLUSQUE,221.6 M,2022,504.2 K,2022
957507536,95750753600020,LUSTUCRU FRAIS,LUSTUCRU PREMIUM GROUPE,04 87 63 36 36,jeuconcours.lustucruselection@lustucrufrais.fr,01/01/1957,68 ans,69,Lyon,FR,69008,PRODUITS FRAIS,SURGELE SALE-ENTREE INDIVIDUELLE,178.9 M,2022,5.4 M,2022
957521750,95752175000021,FRANCE FRAIS RHONE ALPES,FRANCE FRAIS,04 72 89 22 40,televente.grenoble@broc-sas.fr,01/01/1957,68 ans,69,Tassin-la-Demi-Lune,FR,69320,PRODUITS FRAIS,SURGELE SALE-LEGUME,112 M,2022,51.7 K,2022
389232687,38923268700022,FRAIS EMBAL,AXACE DEVELOPPEMENT,03 21 99 63 50,fraisembal@frais-embal.fr,16/11/1992,32 ans,59,Chéreng,FR,59122,PRODUITS FRAIS,SURGELE SALE-SNACKING,111.3 M,2018,1.7 M,2018
387819196,38781919600023,YEO FRAIS (YEO FRAIS),EVOLING,05 61 58 87 35,departement.juridique.marques@sodiaal.fr,01/01/1992,33 ans,31,Toulouse,FR,31200,PRODUITS FRAIS,SURGELE SALE-PIZZA QUICHE ET TOURTE,111.1 M,2022,768.1 K,2022
350326484,35032648400024,BONDUELLE FRAIS FRANCE,BONDUELLE,03 20 43 60 60,contact@bonduelle.com,01/01/1989,36 ans,69,Genas,FR,69740,PRODUITS FRAIS,SURGELE SALE-POMME DE TERRE,107.6 M,2024,-13.4 M,2024
333585149,33358514900025,FRANCE FRAIS AUVERGNE (CSF),FRANCE FRAIS,04 73 60 36 00,info@ffauvergne.fr,01/07/1985,39 ans,63,Chamalières,FR,63510,PRODUITS FRAIS,SURGELE SALE-APERITIF,57 M,2024,643.1 K,2024
786880161,78688016100026,ETLIN SERVICE FRAIS (LOSEFRA),Philippe Malherbe,03 87 31 70 70,contact@etlin.fr,01/01/1968,57 ans,57,Marly,FR,57530,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,51.9 M,2023,1.2 M,2023
422651604,42265160400027,OUEST FRAIS DISTRIBUTION (O.F.D),Philippe Aumand,02 33 21 75 72,contact@ouestfrais.fr,31/03/1999,25 ans,85,Montaigu,FR,85600,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,44.3 M,2024,448.5 K,2024
432395523,43239552300028,MENISSEZ FRAIS,LMCF,03 27 53 18 60,contact@menissez.com,01/07/2000,24 ans,59,Feignies,FR,59750,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,37.9 M,2023,2.1 M,2023
502988892,50298889200029,PLAISIR FRAIS,NEW RETAIL FOOD CONCEPT SA (NRFC SAS),01 30 57 63 90,contact@marniere-primeurs.fr,01/03/2008,16 ans,78,Plaisir,FR,78370,PRODUITS FRAIS,SURGELE SALE-PIZZA QUICHE ET TOURTE,14.3 M,2022,110.1 K,2022
418038931,41803893100030,C'FRAIS - COLMAR FRAIS DISTRIBUTION,Max Pirola,03 89 23 30 00,now.info@colmar-frais.fr,15/03/1998,26 ans,68,Colmar,FR,68000,PRODUITS FRAIS,SURGELE SALE-LEGUME,13 M,2021,1.2 M,2021
439356072,43935607200031,BIO FRAIS SAINT JULIEN,Philippe Grandchamp,04 50 49 42 53,bonjour@biofrais.com,18/09/2001,23 ans,74,Saint-Julien-en-Genevois,FR,74160,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,12.4 M,2021,-372 K,2021
338089444,33808944400032,LE COMPTOIR DU FRAIS,BMVG,03 44 57 67 25,contact@comptoirdufrais.fr,01/05/1986,38 ans,60,Chantilly,FR,60550,PRODUITS FRAIS,SURGELE SALE-APERITIF,12.2 M,2018,334.9 K,2018
515180842,51518084200033,XL FRAIS,MCD RIVES DU LOING,02 38 28 14 80,,30/09/2009,15 ans,45,Montargis,FR,45120,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,12 M,2020,-59.2 K,2020
392154373,39215437300034,AUMAND DIS-FRAIS,Philippe Aumand,02 51 51 72 22,service@aumand.fr,01/07/1993,31 ans,85,La Roche-sur-Yon,FR,85120,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,11.4 M,2024,139.7 K,2024
824358410,82435841000035,SOCIETE NOUVELLE FRANCE SERVICE FRAIS,"COOPERATIVE AGRICOLE LAITIERE ""LES MAITRES LAITIERS DU COTENTIN""",,,09/12/2016,8 ans,21,Beaune,FR,21200,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,10.9 M,2023,380.4 K,2023
501326086,50132608600036,BRIE FRAIS,Herve Vallat,01 60 02 76 58,,05/12/2007,17 ans,77,Brie-Comte-Robert,FR,77170,PRODUITS FRAIS,SURGELE SALE-ENTREE INDIVIDUELLE,8.5 M,2016,763.1 K,2016
492424197,49242419700037,L.N.U.F. MONTAYRAL (LACTALIS NESTLE ULTRA-FRAIS),LACTALIS NESTLE ULTRA-FRAIS,05 53 36 17 00,contact@lactalis.com,21/09/2006,18 ans,47,Montayral,FR,47500,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,92 M,2023,-- K€,2023
304623929,30462392900038,EST SERVICE FRAIS,Gilles Leroy,03 80 26 60 70,contact@france-frais.fr,01/01/1973,52 ans,21,Dijon,FR,21200,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,68.4 M,2024,255 K,2024
320774615,32077461500039,FRANCE FRAIS VAL DE SEINE (CARIGEL),FRANCE FRAIS,02 35 76 41 41,,01/01/1981,44 ans,27,Val-de-Reuil,FR,27340,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,27.1 M,2023,10.9 K,2023
342986924,34298692400040,GRAIN D OR FRAIS GRAIN D OR GEL,NOVEPAN INTERNATIONAL,03 20 17 05 30,contact@graindorgel.fr,25/11/1987,37 ans,59,Lille,FR,59000,PRODUITS FRAIS,SURGELE SALE-APERITIF,26.2 M,2020,-488.6 K,2020
791951650,79195165000041,NORMANDIE SERVICE FRAIS SAS,MAISON HENRI BRUNEL,02 35 04 64 00,contact@normandie-service-frais.fr,05/03/2013,11 ans,76,Le Havre,FR,76950,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,25.6 M,2023,226.3 K,2023
524670536,52467053600042,SIMPLY FRAIS,Francois Poupard,,,01/09/2010,14 ans,59,Mons-en-Barœul,FR,59170,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,25.4 M,2023,-5.3 M,2023
339341646,33934164600043,ALPES FRAIS PRODUCTION,2E 4B MANAGEMENT,04 38 02 20 84,contact@pierre-clot.fr,01/10/1986,38 ans,38,Saint-Quentin-Fallavier,FR,38140,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,25.1 M,2023,1.5 M,2023
429248370,42924837000044,JFD JUS FRAIS DEVELOPPEMENT,,01 86 98 98 90,jfdsas@jfdsas.com,06/01/2000,25 ans,89,Sens,FR,89150,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,21.3 M,2023,203.3 K,2023
70804018,70804018000045,SOC DISTRIBUTION FRAIS,EMMI FRANCE,04 90 13 61 25,disfrais@disfrais.eu,01/01/1970,55 ans,84,Avignon,FR,84000,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,20.5 M,2022,101.5 K,2022
333998292,33399829200046,LA FERME DU PONT DES LANDES ('O' MARCHE DU FRAIS),Laetitia Quattrucci,01 48 94 45 25,,05/11/1985,39 ans,78,Maurepas,FR,78310,PRODUITS FRAIS,SURGELE SALE-APERITIF,19.2 M,2023,427.8 K,2023
431612829,43161282900047,SARL FRAIS EMINCES,LECHEF PREMIUM,02 40 45 00 45,contact@frais-eminces.fr,25/05/2000,24 ans,44,Saint-Herblain,FR,44160,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,15.4 M,2022,-2.7 M,2022
